AQM r3000, AQM r5000, AQM noxevent, AQM r2000, AQM coevent, GPS system_time, GPS gps_time, GPS latitude, GPS longitude 
112,44,82,112,3,2018-03-14 19:49:24.447790,19:49:24,52.48543133333333,13.351862166666667
86,30,85,87,176,2018-03-14 21:12:28.988550,15:42:31,52.518046166666664,13.292899333333333
89,16,59,35,3,2018-03-15 15:50:44.383592,15:50:44,52.5106565,13.288367833333334
67,11,70,30,91,2018-03-15 15:49:43.832032,15:49:43,52.51055933333333,13.288376166666666
141,30,66,48,3,2018-03-15 15:58:15.340392,15:58:15,52.506137,13.316709666666666
298,29,255,47,55,2018-03-15 16:00:23.404851,16:00:23,52.505422833333334,13.329218666666666
78,13,57,26,3,2018-03-15 16:09:57.585303,16:09:57,52.505724,13.341385166666667
82,15,52,28,3,2018-03-15 16:08:36.315710,16:08:36,52.5067845,13.346535833333334
145,33,54,49,3,2018-03-15 16:17:25.578298,16:17:25,52.51212183333333,13.312504166666667
71,11,68,23,91,2018-03-15 16:06:45.650762,16:06:45,52.505157833333335,13.347076666666666
138,25,72,43,3,2018-03-15 16:29:06.023624,16:29:05,52.51071016666667,13.3015015
133,29,51,45,3,2018-03-15 16:23:49.708963,16:23:49,52.50707583333333,13.295228666666667
115,34,79,77,3,2018-03-15 17:34:12.481469,18:51:31,52.5119975,13.311746666666666
476,170,79,188,3,2018-03-15 19:05:24.080314,19:05:23,52.515209,13.377456166666667
768,47616,240,16384,3,2018-03-15 19:42:45.860843,19:42:45,52.4671085,13.383267333333333
82,15,51,24,3,2018-03-16 12:36:00.964220,12:36:00,52.467073166666665,13.384130333333333
503,56,96,61,3,2018-03-16 12:52:52.049646,12:52:51,52.50513,13.3722855
992,119,68,151,3,2018-03-16 13:54:27.109895,13:54:26,52.525605,13.367096666666667
2718,145,50,162,3,2018-03-16 13:57:40.236077,13:57:40,52.506012,13.372126833333333
887,140,102,279,3,2018-03-16 14:14:49.059300,14:14:48,52.474203833333334,13.38564
1025,323,83,459,3,2018-03-16 19:45:07.471836,19:45:07,52.47451516666667,13.362809166666667
345,352,52,711,3,2018-03-16 20:00:08.449753,20:00:08,52.52645916666667,13.330239333333333
349,128,64,256,3,2018-03-16 21:02:09.622619,22:58:24,52.52813783333333,13.330837333333333
649,236,71,341,24,2018-03-16 23:01:37.815736,23:01:37,52.5275045,13.330418333333334
86,101,52,85,3,2018-03-06 20:50:01.018432,20:50:00,52.50270783333333,13.350049166666667
110,105,61,86,3,2018-03-07 08:02:25.699978,08:02:25,52.53728666666667,13.359532166666666
176,22,97,23,3,2018-03-07 11:47:30.035917,11:47:29,52.49898833333334,13.386277333333334
195,33,59,35,3,2018-03-07 11:53:54.902372,11:53:54,52.507018,13.356755833333333
273,37,58,39,3,2018-03-07 11:56:01.647735,11:56:01,52.504696833333334,13.351108666666667
319,45,113,44,3,2018-03-07 11:57:03.782199,11:57:03,52.503359333333336,13.350069333333334
261,87,73,106,3,2018-03-07 13:31:44.738739,13:31:44,52.5024695,13.349900333333334
190,85,92,86,3,2018-03-07 13:26:27.920042,13:26:27,52.502217,13.333856166666667
700,115,172,155,4,2018-03-07 13:41:22.720051,13:41:22,52.498201333333334,13.405712166666667
52,10,114,10,3,2018-03-08 01:54:21.022930,01:54:21,52.5179495,13.433615333333334
73,10,68,14,3,2018-03-08 01:55:22.145488,01:55:22,52.51988333333333,13.424118166666666
75,70,59,49,3,2018-03-09 12:34:10.425144,12:34:10,52.47926266666666,13.320472333333333
344,97,132,82,3,2018-03-09 15:36:03.062544,15:36:03,52.50329833333333,13.331197666666666
133,75,51,131,3,2018-03-07 19:08:54.611347,19:08:54,52.50039266666667,13.422793833333333
139,62,51,105,3,2018-03-09 15:58:29.231367,15:58:28,52.5177665,13.318083666666666
73,52,62,39,206,2018-03-10 14:57:56.361790,15:17:07,52.544384666666666,13.313022166666666
105,70,81,47,3,2018-03-10 15:17:24.638562,15:17:24,52.542949,13.313152833333334
280,88,86,50,3,2018-03-10 15:23:48.951775,15:23:48,52.53609466666666,13.356271666666666
233,92,56,54,3,2018-03-10 15:24:53.749737,15:24:53,52.536574,13.358840833333334
166,87,52,68,3,2018-03-10 16:24:54.033539,16:24:54,52.5487205,13.403697166666667
64,36,83,24,3,2018-03-11 18:34:15.550104,18:34:15,52.5212455,13.4589505
89,38,51,21,3,2018-03-11 18:36:10.433568,18:36:10,52.51551283333333,13.459937833333333
111,46,59,24,3,2018-03-11 19:54:13.320230,19:54:13,52.51073483333333,13.459108166666667
579,86,63,22,8,2018-03-16 07:04:51.073413,07:04:50,52.50637066666667,13.302402833333334
587,75,51,19,3,2018-03-16 07:08:05.150619,07:08:04,52.490628,13.3132815
747,104,128,29,3,2018-03-16 10:49:08.996039,10:48:59,52.493282,13.3099155
86,10,54,10,3,2018-03-16 14:48:08.741916,14:48:08,52.51428583333333,13.316593833333334
68,10,78,10,3,2018-03-16 14:47:04.975189,14:47:04,52.514309833333336,13.316601166666667
822,104,72,29,3,2018-03-16 22:59:02.314591,22:59:01,52.53724,13.4291735
1295,108,70,31,3,2018-03-16 22:59:20.717285,22:59:20,52.53618083333333,13.432092
1556,102,59,30,3,2018-03-16 23:00:23.038900,23:00:22,52.53287,13.439037333333333
2275,85,89,31,3,2018-03-16 23:01:25.444034,23:01:25,52.53193366666667,13.441239833333332
127,127,52,86,3,2018-03-06 21:00:42.440648,21:00:42,52.503169,13.360930166666666
134,80,50,69,3,2018-03-06 21:15:41.524690,21:15:41,52.50389416666667,13.338112333333333
282,103,87,47,3,2018-03-07 08:34:16.848459,08:34:16,52.512767333333336,13.377104
34,10,74,10,3,2018-03-07 10:25:16.842525,10:25:16,52.518918166666666,13.309184666666667
38,10,60,10,3,2018-03-07 10:26:21.169845,10:26:20,52.51899816666667,13.3091115
38,10,57,10,3,2018-03-07 10:30:37.212228,10:30:36,52.5188975,13.309437666666666
60,12,79,10,69,2018-03-07 10:31:45.772689,10:31:45,52.5191,13.309041333333333
290,98,56,37,3,2018-03-07 16:06:52.938973,16:06:52,52.518808166666666,13.2833785
790,134,215,50,3,2018-03-07 16:12:13.618900,16:12:13,52.52424833333333,13.2446735
405,106,53,40,3,2018-03-07 16:19:47.445210,16:19:47,52.518994,13.2759165
574,102,190,39,7,2018-03-07 16:33:39.594149,16:33:39,52.52063016666666,13.355798833333333
711,93,87,37,3,2018-03-07 16:39:00.656870,16:39:00,52.528494333333335,13.376151
569,84,90,36,3,2018-03-07 16:54:56.494732,16:54:56,52.517386,13.440675166666667
587,95,57,38,3,2018-03-07 16:56:03.442335,16:56:03,52.5166245,13.444837666666666
698,133,193,53,3,2018-03-07 20:09:23.197778,20:09:22,52.50596016666667,13.33336
395,128,51,52,3,2018-03-07 20:40:18.256143,20:40:17,52.493463166666665,13.366004833333333
458,138,76,56,3,2018-03-07 23:41:44.932353,23:41:44,52.497954166666666,13.418796166666667
120,31,54,14,72,2018-03-08 09:28:24.535069,09:28:24,52.504215,13.453419333333333
452,151,54,54,3,2018-03-09 01:02:01.736935,01:02:01,52.525580166666664,13.367870833333333
177,95,86,38,3,2018-03-09 09:36:51.254228,09:36:50,52.492580833333335,13.457208
245,98,161,32,34,2018-03-10 10:34:23.892024,10:34:23,52.498989333333334,13.4182045
337,112,58,35,3,2018-03-10 10:42:54.736387,10:42:54,52.475372,13.4277355
91,85,71,30,10,2018-03-11 13:34:37.863638,13:34:37,52.495407166666666,13.389591666666666
128,88,71,29,3,2018-03-11 13:40:02.394536,13:40:02,52.50529433333333,13.372231833333334
267,112,60,35,3,2018-03-12 07:50:31.867799,07:50:31,52.5067945,13.346302666666666
268,128,74,40,3,2018-03-12 07:54:46.300205,07:54:46,52.50611033333333,13.332853833333333
150,110,58,39,3,2018-03-12 10:15:09.497312,10:15:09,52.514431333333334,13.348906166666668
773,109,135,31,84,2018-03-12 10:23:45.145822,10:23:44,52.511336666666665,13.400827833333333
607,148,88,44,3,2018-03-12 10:29:05.261475,10:29:05,52.52289066666667,13.428572333333333
849,152,98,45,3,2018-03-12 10:32:17.184782,10:32:16,52.52609183333333,13.4468195
268,96,57,30,3,2018-03-12 16:35:45.568877,16:35:45,52.515162833333335,13.459860333333333
306,104,74,31,3,2018-03-12 16:37:30.492661,16:37:30,52.517243,13.441361333333333
382,114,73,34,3,2018-03-12 16:42:50.342646,16:42:50,52.523206,13.408616166666667
1310,147,255,46,43,2018-03-12 16:50:23.463886,16:50:23,52.5307725,13.382517166666666
967,116,99,33,13,2018-03-12 16:51:22.232500,16:51:21,52.52956016666667,13.3808015
693,110,84,30,3,2018-03-12 16:55:41.185235,16:55:40,52.52690466666667,13.370632
84,56,56,20,3,2018-03-12 17:58:41.328436,17:58:40,52.526927666666666,13.380544333333333
648,111,103,33,3,2018-03-12 18:11:34.766364,18:11:34,52.51459166666667,13.420359666666666
612,103,94,30,3,2018-03-12 18:13:44.403235,18:13:44,52.5139165,13.422819666666667
584,104,52,32,3,2018-03-12 18:15:52.369596,18:15:52,52.511615,13.427312333333333
810,101,99,30,3,2018-03-12 18:16:57.182751,18:16:57,52.51095883333333,13.428590333333334
839,129,102,40,3,2018-03-12 18:20:13.792327,18:20:13,52.50444066666667,13.440754833333333
34,10,64,10,3,2018-03-13 18:34:20.485132,18:34:20,52.52023233333333,13.462127
67,16,76,10,3,2018-03-13 18:49:20.358299,18:49:20,52.520232666666665,13.462091000000001
83,18,51,10,3,2018-03-13 18:50:23.397700,18:50:23,52.5202455,13.462039333333333
526,44,87,11,3,2018-03-14 10:59:22.248577,10:59:21,52.511771833333334,13.331194666666667
